Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
First_Trans,,,0.6,0.5,1.0,95.6,3,0,83.0,83.0,report0.html
CGI,,,2.7,2.6,1.6,11.4,4,0,87.0,88.0,report1.html
Trans_other,,,0.3,0.3,5.2,64.4,12,0,79.5,79.5,report2.html
transTes_0,,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report3.html
transTes_1,,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report4.html
transTes_2,,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report5.html
transTes_3,,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report6.html
transTes_4,,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report7.html
transTes_5,,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report8.html
transTes_6,,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report9.html
transTes_7,,,0.0,0.0,0.0,0.0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report10.html
